Time,RPM,TPS,IAT,CLT,Engine,Accel Enrich,VE,Advance,Battery V,Hard Limiter
12.904,3328,11,30,41,9,100,59,25,13.5,0
13.026,3427,11,30,41,9,100,59,26,13.5,0
13.149,3379,11,30,41,9,100,59,25,13.5,0
13.268,3159,11,30,41,9,100,59,25,13.5,0
13.391,3337,11,30,41,9,100,59,25,12.8,0
13.51,3238,11,30,41,9,100,59,25,12.8,0
13.629,3094,11,30,42,9,100,59,25,13.2,0
13.751,3227,11,30,42,9,100,59,25,13.2,0
13.87,3301,11,30,42,9,100,59,25,13.4,0
13.977,3438,11,30,42,9,100,59,26,13.4,0
14.1,3443,11,30,42,9,100,59,26,13.5,0
14.219,3548,11,30,42,9,100,59,26,13.5,0
14.341,3434,11,30,42,9,100,59,26,13.6,0
14.46,3418,11,30,42,9,100,59,26,13.6,0
14.583,3645,11,30,42,9,100,59,26,13.6,0
14.706,3717,11,30,42,9,100,59,26,13.6,0
14.826,3670,11,30,42,9,100,59,26,13.6,0
14.928,3591,11,30,42,9,100,59,26,13.5,0
15.05,3554,11,30,42,9,100,59,26,13.5,0
15.173,3449,11,30,42,9,100,59,26,13.5,0
15.292,3335,11,30,42,9,100,59,25,13.5,0
15.415,3579,11,30,42,9,100,59,26,13.5,0
15.534,3770,11,30,42,9,100,59,26,13.5,0
15.657,3979,12,30,42,9,100,60,27,13.5,0
15.771,4037,12,30,42,9,100,60,27,13.5,0
15.89,4068,12,30,42,9,100,60,27,13.5,0
15.996,4036,12,30,42,9,100,60,27,13.5,0
16.112,3938,12,30,42,9,100,60,27,13.5,0
16.23,3766,12,30,42,9,100,60,27,13.5,0
16.344,3778,12,30,42,9,100,60,27,13.5,0
16.605,3474,11,30,42,9,100,59,26,13.6,0
16.73,3421,11,30,42,9,100,59,26,13.6,0
16.853,3138,11,30,42,9,100,59,25,13.6,0
16.98,3197,11,30,42,9,100,59,25,13.6,0
17.102,3347,11,30,42,9,100,59,25,13.6,0
17.221,3325,11,30,42,9,100,59,25,13.6,0
17.344,3411,11,30,42,9,100,59,26,13.6,0
17.463,3569,11,30,42,9,100,59,26,13.6,0
17.586,3639,11,30,42,9,100,59,26,13.6,0
17.704,3613,11,30,42,9,100,59,26,13.5,0
17.827,3551,11,30,42,9,100,59,26,13.5,0
17.93,3482,11,30,42,9,100,59,26,13.5,0
18.053,3414,11,30,42,9,100,59,26,13.5,0
18.176,3223,11,30,42,9,100,59,25,13.5,0
18.295,3386,11,30,42,9,100,59,25,13.5,0
18.417,3515,11,30,42,9,100,59,26,13.5,0
18.536,3646,11,30,42,9,100,59,26,13.5,0
18.659,3709,11,30,43,9,100,59,26,13.5,0
18.782,3805,11,30,43,9,100,59,26,13.5,0
18.901,3822,11,30,43,9,100,59,26,13.5,0
19.036,3688,11,30,43,9,100,59,26,13.5,0
19.155,3636,11,30,43,9,100,59,26,13.5,0
19.277,3688,11,30,43,9,100,59,26,13.5,0
19.401,3678,11,30,43,9,100,59,26,13.5,0
19.519,3584,11,30,43,9,100,59,26,13.5,0
19.643,3465,11,30,43,9,100,59,26,13.5,0
19.76,3217,11,30,43,9,100,59,25,13.6,0
19.884,3241,11,30,43,9,100,59,25,13.6,0
19.986,3234,11,30,43,9,100,59,25,13.6,0
20.105,3345,11,30,43,9,100,59,25,13.6,0
20.228,3210,11,30,43,9,100,59,25,13.6,0
20.347,3165,11,30,43,9,100,59,25,13.6,0
20.465,3237,11,30,43,9,100,59,25,13.5,0
20.589,3300,11,30,43,9,100,59,25,13.5,0
20.707,3169,11,30,43,9,100,59,25,13.5,0
20.83,3284,11,30,43,9,100,59,25,13.5,0
20.949,3302,11,30,43,9,100,59,25,13.5,0
21.06,3243,11,30,43,9,100,59,25,13.5,0
21.178,3289,11,30,43,9,100,59,25,13.1,0
21.297,3163,11,30,43,9,100,59,25,13.1,0
21.421,3311,11,30,43,9,100,59,25,13.4,0
21.539,3307,11,30,43,9,100,59,25,13.4,0
21.662,3234,11,30,43,9,100,59,25,13.4,0
21.78,3128,11,30,43,9,100,59,25,13.5,0
21.904,3124,11,30,43,9,100,59,25,13.5,0
22.01,3125,11,30,43,9,100,59,25,13.5,0
22.129,3280,11,30,43,9,100,59,25,13.5,0
22.252,3399,11,30,43,9,100,59,25,13.5,0
22.371,3246,11,30,43,9,100,59,25,13.5,0
22.493,3190,11,30,43,9,100,59,25,13.5,0
22.612,3314,11,30,43,9,100,59,25,13.5,0
22.731,3386,11,30,43,9,100,59,25,13.5,0
22.854,3198,11,30,43,9,100,59,25,13.5,0
22.973,3311,11,30,44,9,100,59,25,13.5,0
23.084,3327,11,30,44,9,100,59,25,13.5,0
23.202,3344,11,30,44,9,100,59,25,13.1,0
23.325,3337,11,30,44,9,100,59,25,13.1,0
23.444,3180,11,30,44,9,100,59,25,13.3,0
23.567,3356,11,30,44,9,100,59,25,13.3,0
23.686,3260,11,30,44,9,100,59,25,13.3,0
23.805,3112,11,30,44,9,100,59,25,13.4,0
23.926,3150,11,30,44,9,100,59,25,13.4,0
24.033,3195,11,30,44,9,100,59,25,13.4,0
24.153,3334,11,30,44,9,100,59,25,13.4,0
24.275,3323,11,30,44,9,100,59,25,13.5,0
24.395,3331,11,30,44,9,100,59,25,13.5,0
24.517,3270,11,30,44,9,100,59,25,13.5,0
24.636,3375,11,30,44,9,100,59,25,13.5,0
24.758,3459,11,30,44,9,100,59,26,13.5,0
24.877,3374,11,30,44,9,100,59,25,13.5,0
25,3316,11,30,44,9,100,59,25,13,0
25.136,3381,11,30,44,9,100,59,25,13,0
25.259,3471,11,30,44,9,100,59,26,13.3,0
25.377,3558,11,30,44,9,100,59,26,13.3,0
25.5,3508,11,30,45,9,100,59,26,13.3,0
25.619,3472,11,30,45,9,100,59,26,13.3,0
25.742,3465,11,30,45,9,100,59,26,13.5,0
25.865,3551,11,30,45,9,100,59,26,13.5,0
25.984,3306,11,30,45,9,100,59,25,13.5,0
26.114,3306,11,30,45,9,100,59,25,13.5,0
26.237,3370,11,30,45,9,100,59,25,13.5,0
26.356,3487,11,30,45,9,100,59,26,13.5,0
26.479,3505,11,30,45,9,100,59,26,13.5,0
26.602,3472,11,30,45,9,100,59,26,13.5,0
26.72,3444,11,30,45,9,100,59,26,13.5,0
26.844,3260,11,30,45,9,100,59,25,13.5,0
26.962,3130,11,30,45,9,100,59,25,13.5,0
27.069,3048,11,30,45,9,100,59,25,13.3,0
27.188,3175,11,30,45,9,100,59,25,13.3,0
27.311,3106,11,30,45,9,100,59,25,13.4,0
27.429,3184,11,30,45,9,100,59,25,13.4,0
27.548,3048,11,30,45,9,100,59,25,13.5,0
27.671,3138,11,30,45,9,100,59,25,13.5,0
27.79,3092,11,30,45,9,100,59,25,13.5,0
27.909,3008,11,30,45,9,100,59,25,13.5,0
28.031,2967,11,30,45,9,100,59,24,13.5,0
28.138,3048,11,30,45,9,100,59,25,13.5,0
28.261,3114,11,30,45,9,100,59,25,13.5,0
28.38,3236,11,30,45,9,100,59,25,13.5,0
28.499,3158,11,30,45,9,100,59,25,13.5,0
28.622,3205,11,30,45,9,100,59,25,13.5,0
28.741,3057,11,30,45,9,100,59,25,13.5,0
28.863,3125,11,30,45,9,100,59,25,13.5,0
28.982,3071,11,30,45,9,100,59,25,13.5,0
29.093,3253,11,30,45,9,100,59,25,13.5,0
29.212,3288,11,30,45,9,100,59,25,13.5,0
29.335,3188,11,30,45,9,100,59,25,13.6,0
29.453,3267,11,30,45,9,100,59,25,13.6,0
29.576,3250,11,30,45,9,100,59,25,13.6,0
29.695,3187,11,30,45,9,100,59,25,13.6,0
29.814,3269,11,30,45,9,100,59,25,13.6,0
29.937,3218,11,30,45,9,100,59,25,13.6,0
30.056,3237,11,30,45,9,100,59,25,13.6,0
30.161,3148,11,30,45,9,100,59,25,13.6,0
30.285,3173,11,30,46,9,100,59,25,13.6,0
30.403,3229,11,30,46,9,100,59,25,13.6,0
30.527,3287,11,30,46,9,100,59,25,13.6,0
30.645,3285,11,30,46,9,100,59,25,13.6,0
30.769,3239,11,30,46,9,100,59,25,13.6,0
30.887,3381,11,30,46,9,100,59,25,13.6,0
31.01,3377,11,30,46,9,100,59,25,13.6,0
31.116,3301,11,30,46,9,100,59,25,13.6,0
31.235,3192,11,30,46,9,100,59,25,13.6,0
31.359,3228,11,30,46,9,100,59,25,13.5,0
31.477,3300,11,30,46,9,100,59,25,13.5,0
31.599,3272,11,30,46,9,100,59,25,13.5,0
31.719,3342,11,30,46,9,100,59,25,13.5,0
31.842,3301,11,30,46,9,100,59,25,13.5,0
31.96,3249,11,30,46,9,100,59,25,13.5,0
32.084,3242,11,30,46,9,100,59,25,13.5,0
32.218,3282,11,30,46,9,100,59,25,13.5,0
32.337,3184,11,30,46,9,100,59,25,13.6,0
32.46,3306,11,30,46,9,100,59,25,13.6,0
32.579,3137,11,30,46,9,100,59,25,13.6,0
32.702,3182,11,30,46,9,100,59,25,13.6,0
32.822,3298,11,30,46,9,100,59,25,13.6,0
32.943,3393,11,30,46,9,100,59,25,13.6,0
33.062,3449,11,30,46,9,100,59,26,13.6,0
33.169,3356,11,30,46,9,100,59,25,13.6,0
33.292,3397,11,30,46,9,100,59,25,13.6,0
33.41,3386,11,30,46,9,100,59,25,13.1,0
33.533,3288,11,30,46,9,100,59,25,13.1,0
33.652,3275,11,30,46,9,100,59,25,13.3,0
33.775,3311,11,30,46,9,100,59,25,13.3,0
33.894,3356,11,30,46,9,100,59,25,13.4,0
34.017,3275,11,30,46,9,100,59,25,13.4,0
34.12,3290,11,30,46,9,100,59,25,13.2,0
34.241,3595,11,30,46,9,100,59,26,13.2,0
34.36,3726,11,30,46,9,100,59,26,13.4,0
34.484,3822,11,30,46,9,100,59,26,13.4,0
34.606,3948,11,30,46,9,100,59,26,13.5,0
34.73,3984,11,30,46,9,100,59,26,13.5,0
34.849,3950,11,30,47,9,100,59,26,13.5,0
34.971,3761,11,30,47,9,100,59,26,13.5,0
35.094,3423,11,30,47,9,100,59,26,13.5,0
35.221,3277,11,30,47,9,100,59,25,13.5,0
35.34,3161,11,30,47,9,100,59,25,13.5,0
35.463,3045,11,30,47,9,100,59,25,13.5,0
35.581,3117,11,30,47,9,100,59,25,13.5,0
35.704,3084,11,30,47,9,100,59,25,13.5,0
35.823,3262,11,30,47,9,100,59,25,13.5,0
35.946,3330,11,30,47,9,100,59,25,13.5,0
36.065,3300,11,30,47,9,100,59,25,13.5,0
36.172,3324,11,30,47,9,100,59,25,13.5,0
36.294,3198,11,30,47,9,100,59,25,13.5,0
36.413,3254,11,30,47,9,100,59,25,13.5,0
36.532,3324,11,30,47,9,100,59,25,13.5,0
36.655,3174,11,30,47,9,100,59,25,13.5,0
36.774,3279,11,30,47,9,100,59,25,13.5,0
36.897,3259,11,30,47,9,100,59,25,13.5,0
37.015,3390,11,30,47,9,100,59,25,13.5,0
37.138,3327,11,30,47,9,100,59,25,13.5,0
37.244,3367,11,30,47,9,100,59,25,13.5,0
37.364,3303,11,30,47,9,100,59,25,13.5,0
37.487,3236,11,30,47,9,100,59,25,13.5,0
37.606,3146,11,30,47,9,100,59,25,13.5,0
37.728,3355,11,30,47,9,100,59,25,13.5,0
37.846,3341,11,30,47,9,100,59,25,13.5,0
37.97,3376,11,30,47,9,100,59,25,13.6,0
38.088,3314,11,30,47,9,100,59,25,13.6,0
38.195,3163,11,30,47,9,100,59,25,13.5,0
38.314,3262,11,30,47,9,100,59,25,13.5,0
38.437,3208,11,30,47,9,100,59,25,13.3,0
38.555,3325,11,30,47,9,100,59,25,13.3,0
38.678,3340,11,30,47,9,100,59,25,13.4,0
38.797,3200,11,30,47,9,100,59,25,13.4,0
38.92,3171,11,30,47,9,100,59,25,13.5,0
39.039,3175,11,30,47,9,100,59,25,13.5,0
39.161,3321,11,30,47,9,100,59,25,13.5,0
39.268,3411,11,30,47,9,100,59,26,13.5,0
39.387,3270,11,30,47,9,100,59,25,13.5,0
39.51,3373,11,30,47,9,100,59,25,13.5,0
39.629,3250,11,30,47,9,100,59,25,13.5,0
39.752,3147,11,30,47,9,100,59,25,13.5,0
39.87,3117,11,30,47,9,100,59,25,13.5,0
39.993,3231,11,30,47,9,100,59,25,13.5,0
40.112,3239,11,30,47,9,100,59,25,13.5,0
40.219,3313,11,30,48,9,100,59,25,12.9,0
40.341,3343,11,30,48,9,100,59,25,12.9,0
40.461,3456,11,30,48,9,100,59,26,13.2,0
40.583,3513,11,30,48,9,100,59,26,13.2,0
40.702,3414,11,30,48,9,100,59,26,13.4,0
40.825,3311,11,30,48,9,100,59,25,13.4,0
40.944,3153,11,30,48,9,100,59,25,13.5,0
41.067,3306,11,30,48,9,100,59,25,13.5,0
41.185,3322,11,30,48,9,100,59,25,13.6,0
41.291,3307,11,30,48,9,100,59,25,13.6,0
41.41,3340,11,30,48,9,100,59,25,13.5,0
41.534,3411,11,30,48,9,100,59,26,13.5,0
41.653,3442,11,30,48,9,100,59,26,12.9,0
41.776,3280,11,30,48,9,100,59,25,12.9,0
41.894,3212,11,30,48,9,100,59,25,12.9,0
42.017,3235,11,30,48,9,100,59,25,13.2,0
42.136,3248,11,30,48,9,100,59,25,13.2,0
42.242,3198,11,30,48,9,100,59,25,13.4,0
42.372,3302,11,30,48,9,100,59,25,13.4,0
42.484,3424,11,30,48,9,100,59,26,13.5,0
42.607,3331,11,30,48,9,100,59,25,13.5,0
42.726,3328,11,30,48,9,100,59,25,13.5,0
42.845,3233,11,30,48,9,100,59,25,13.5,0
42.967,3195,11,30,48,9,100,59,25,12.8,0
43.087,3185,11,30,48,9,100,59,25,12.8,0
43.21,3334,11,30,48,9,100,59,25,13.2,0
43.344,3423,11,30,48,9,100,59,26,13.2,0
43.467,3423,11,30,48,9,100,59,26,13.4,0
43.586,3281,11,30,48,9,100,59,25,13.4,0
43.709,3196,11,30,48,9,100,59,25,13.5,0
43.828,3085,11,30,48,9,100,59,25,13.5,0
43.946,3221,11,30,48,9,100,59,25,13.2,0
44.069,3167,11,30,48,9,100,59,25,13.2,0
44.188,3210,11,30,48,9,100,59,25,13.2,0
44.295,3139,11,30,49,9,100,59,25,13.4,0
44.418,3243,11,30,49,9,100,59,25,13.4,0
44.537,3351,11,30,49,9,100,59,25,13.4,0
44.659,3280,11,30,49,9,100,59,25,13.4,0
44.778,3340,11,30,49,9,100,59,25,13.5,0
44.897,3337,11,30,49,9,100,59,25,13.5,0
45.02,3234,11,30,49,9,100,59,25,13.6,0
45.139,3270,11,30,49,9,100,59,25,13.6,0
45.245,3276,11,30,49,9,100,59,25,13.6,0
45.368,3551,11,30,49,9,100,59,26,13.6,0
45.487,3551,11,30,49,9,100,59,26,13.3,0
45.61,3466,11,30,49,9,100,59,26,13.3,0
45.733,3354,11,30,49,9,100,59,25,13.4,0
45.852,3273,11,30,49,9,100,59,25,13.4,0
45.974,3270,11,30,49,9,100,59,25,13.5,0
46.093,3172,11,30,49,9,100,59,25,13.5,0
46.216,3195,11,30,49,9,100,59,25,13.5,0
46.347,3319,11,30,49,9,100,59,25,13.5,0
46.47,3506,11,30,49,9,100,59,26,13.3,0
46.593,3615,11,30,49,9,100,59,26,13.3,0
46.711,3697,11,30,49,9,100,59,26,13.4,0
46.834,3849,11,30,49,9,100,59,26,13.4,0
46.957,3866,11,30,49,9,100,59,26,13.4,0
47.076,3677,11,30,49,9,100,59,26,13.5,0
47.199,3619,11,30,49,9,100,59,26,13.5,0
47.301,3587,11,30,50,9,100,59,26,13.4,0
47.42,3239,11,30,50,9,100,59,25,13.4,0
47.543,3275,11,30,50,9,100,59,25,13.5,0
47.662,3397,11,30,50,9,100,59,25,13.5,0
47.785,3250,11,30,50,9,100,59,25,13.5,0
47.904,3477,11,30,50,9,100,59,26,13.5,0
48.026,3412,11,30,50,9,100,59,26,13.5,0
48.145,3506,11,30,50,9,100,59,26,13.5,0
48.268,3415,11,30,50,9,100,59,26,13.5,0
48.403,3340,11,30,50,9,100,59,25,13.5,0
48.522,3373,11,30,50,9,100,59,25,13.6,0
48.644,3584,11,30,50,9,100,59,26,13.6,0
48.763,3399,11,30,50,9,100,59,25,13.6,0
48.886,3559,11,30,50,9,100,59,26,13.6,0
49.006,3434,11,30,50,9,100,59,26,13.6,0
49.129,3379,11,30,50,9,100,59,25,13.6,0
49.247,3481,11,30,50,9,100,59,26,13.5,0
49.382,3616,11,30,50,9,100,59,26,13.5,0
49.505,3763,11,30,50,9,100,59,26,13.5,0
49.624,3797,11,30,50,9,100,59,26,13.5,0
49.747,3871,11,30,50,9,100,59,26,13.5,0
49.87,3926,11,30,50,9,100,59,26,13.5,0
49.992,3859,11,30,50,9,100,59,26,13.5,0
50.111,3846,11,30,50,9,100,59,26,13.5,0
50.234,3779,11,30,50,9,100,59,26,13.5,0
50.361,3708,11,30,50,9,100,59,26,13.5,0
50.485,3726,11,30,50,9,100,59,26,13.5,0
50.608,3760,11,30,50,9,100,59,26,13.5,0
50.726,3844,11,30,50,9,100,59,26,13.5,0
50.849,3794,11,30,50,9,100,59,26,13.5,0
50.972,3754,11,30,50,9,100,59,26,13.5,0
51.095,3658,11,30,50,9,100,59,26,13.5,0
51.214,3656,11,30,50,9,100,59,26,13.5,0
51.344,3754,11,30,50,9,100,59,26,13.5,0
51.467,3807,11,30,50,9,100,59,26,13.5,0
51.586,3819,11,30,50,9,100,59,26,13.5,0
51.709,3876,11,30,50,9,100,59,26,13.5,0
51.832,3763,11,30,50,9,100,59,26,13.5,0
51.951,3785,11,30,50,9,100,59,26,13.5,0
52.073,3704,11,30,50,9,100,59,26,13.6,0
52.196,3610,11,30,50,9,100,59,26,13.6,0
52.315,3572,11,30,50,9,100,59,26,13.3,0
52.447,3485,11,30,50,9,100,59,26,13.3,0
52.57,3535,11,30,50,9,100,59,26,13.4,0
52.687,3557,11,30,50,9,100,59,26,13.4,0
52.811,3584,11,30,51,9,100,59,26,13.5,0
52.934,3484,11,30,51,9,100,59,26,13.5,0
53.053,3583,11,30,51,9,100,59,26,13.5,0
53.176,3497,11,30,51,9,100,59,26,13.5,0
53.295,3576,11,30,51,9,100,59,26,13.5,0
53.425,3774,11,30,51,9,100,59,26,13.5,0
53.548,3867,11,30,51,9,100,59,26,13.6,0
53.671,3926,11,30,51,9,100,59,26,13.6,0
53.794,4048,11,30,51,9,100,59,26,13.6,0
53.913,3996,11,30,51,9,100,59,26,13.6,0
54.035,3879,11,30,51,9,100,59,26,13.6,0
54.159,3759,11,30,51,9,100,59,26,13.6,0
54.281,3777,11,30,51,9,100,59,26,13.6,0
54.409,3752,11,30,51,9,100,59,26,13.6,0
54.532,3778,11,30,51,9,100,59,26,13.6,0
54.651,3836,11,30,51,9,100,59,26,13.6,0
54.773,3889,11,30,51,9,100,59,26,13.6,0
54.896,3870,11,30,51,9,100,59,26,13.6,0
55.015,3806,11,30,51,9,100,59,26,13.6,0
55.138,3735,11,30,51,9,100,59,26,13.6,0
55.261,3542,11,30,51,9,100,59,26,13.6,0
55.387,3536,11,30,51,9,100,59,26,13.6,0
55.51,3668,11,30,51,9,100,59,26,13.6,0
55.633,3785,11,30,51,9,100,59,26,13.6,0
55.752,3919,11,30,51,9,100,59,26,13.6,0
55.875,3882,11,30,51,9,100,59,26,13.6,0
55.998,3890,11,30,51,9,100,59,26,13.6,0
56.121,3790,11,30,51,9,100,59,26,13.4,0
56.24,3660,11,30,51,9,100,59,26,13.4,0
56.363,3515,11,30,51,9,100,59,26,13.5,0
56.494,3427,11,30,51,9,100,59,26,13.5,0
56.613,3243,11,30,52,9,100,59,25,13.5,0
56.735,3235,11,30,52,9,100,59,25,13.5,0
56.854,3504,11,30,52,9,100,59,26,13,0
56.977,3503,11,30,52,9,100,59,26,13,0
57.096,3633,11,30,52,9,100,59,26,13.3,0
57.219,3624,11,30,52,9,100,59,26,13.3,0
57.337,3598,11,30,52,9,100,59,26,13.4,0
57.473,3488,11,30,52,9,100,59,26,13.4,0
57.595,3516,11,30,52,9,100,59,26,13,0
57.715,3402,11,30,52,9,100,59,25,13,0
57.838,3512,11,30,52,9,100,59,26,13.2,0
57.957,3552,11,30,52,9,100,59,26,13.2,0
58.079,3465,11,30,52,9,100,59,26,13.2,0
58.198,3313,11,30,52,9,100,59,25,13.4,0
58.321,3390,11,30,52,9,100,59,25,13.4,0
58.423,3320,11,30,52,9,100,59,25,13.5,0
58.542,3386,11,30,52,9,100,59,25,13.5,0
58.665,3306,11,30,52,9,100,59,25,13.5,0
58.783,3380,11,30,52,9,100,59,25,13.5,0
58.906,3502,11,30,52,9,100,59,26,13.5,0
59.025,3691,11,30,52,9,100,59,26,13.5,0
59.148,3680,11,30,52,9,100,59,26,13,0
59.272,3557,11,30,52,9,100,59,26,13,0
59.389,3445,11,30,52,9,100,59,26,13.2,0
59.525,3312,11,30,52,9,100,59,25,13.2,0
59.644,3304,11,30,52,9,100,59,25,13.4,0
59.767,3348,11,30,52,9,100,59,25,13.4,0
59.886,3464,11,30,52,9,100,59,26,13.5,0
60.009,3543,11,30,52,9,100,59,26,13.5,0
60.131,3654,11,30,52,9,100,59,26,13.6,0
60.25,3711,11,30,52,9,100,59,26,13.6,0
60.373,3715,11,30,52,9,100,59,26,12.9,0
60.504,3744,12,30,52,9,100,60,27,12.9,0
60.623,4213,15,30,52,9,100,61,27,13.2,0
60.745,4824,16,30,52,9,100,63,28,13.2,0
60.864,5332,16,30,52,9,100,63,29,13.3,0
60.975,5578,16,30,52,9,100,63,30,13.3,0
61.098,5658,16,30,52,9,100,63,30,13.3,0
61.217,5703,16,30,52,9,100,63,30,13.3,0
61.34,5753,17,30,52,9,100,63,30,13.3,0
61.462,5947,18,30,52,9,100,64,31,13.5,0
61.606,6045,18,30,52,9,100,64,31,13.5,0
61.745,6170,18,30,52,9,100,64,31,13.5,0
61.889,6190,19,30,52,9,100,65,32,13.5,0
